Registry_ID,Site name,Seed URL,Business area 1,Business area 2,Type,Owner,Description,URL status,Redirects to,Preservation status,ACT ID,AWS ID,Accession no,Crawl start date,Crawl frequency,Crawl depth,Licence Status,Notes
WAR01,"Addressing History | University of Edinburgh, The",http://addressinghistory.edina.ac.uk/,ISG,EDINA,Research activity,,The AddressingHistory project which ran from April - September 2010 and created an online tool to combine data from digitised historical Scottish Post Office Directories with contemporaneous historical maps. The project was delivered by the University of Edinburgh's EDINA centre in partnership with the National Library of Scotland using materials already digitised under ongoing NLS programmes.,Extinct,,Active UKWA crawl,37735,,,21/06/2016,Annual,Capped,Umbrella - manual,
WAR02,"Christian-Muslim Studies Network | University of Edinburgh, The",http://christianmuslim.div.ed.ac.uk/,CAHSS,Divinity,Research activity,,,Extinct,,Added to UKWA - AWS,,,,26/11/2024,Monthly,Capped,Umbrella - auto,
WAR03,"Curious Edinburgh | University of Edinburgh, The",http://curiousedinburgh.org/,CAHSS,Social & Political Sciences,Research activity,,"Site of a project by the University of Edinburgh to develop app and web-based tours that tell stories about Edinburgh's many historic buildings and places and showcase the importance of Edinburgh in the history of science, technology and medicine.",Active,,Active UKWA crawl,61272,,,12/02/2018,Sixmonthly,Capped,Umbrella - manual,
WAR04,"Summer School | University of Edinburgh, The",http://summerschool.ed.ac.uk/,CAHSS,Centre for Open Learning,Service,,,Retired - redirect,https://col.ed.ac.uk/our-programmes/summer-school-home,Ended UKWA crawl,,253582,,03/10/2024,Weekly,Capped,Umbrella - auto,
WAR05,"Centre for the Advanced Study of the Arab World (CASAW) | University of Edinburgh, The",http://www.casaw.ac.uk/,CAHSS,LLC,Centre/Institute,,,Extinct,,Added to UKWA - AWS,,,,,Annual,Capped,Umbrella - manual,
WAR06,"Centre for the Study of Christian Origins | University of Edinburgh, The",http://www.christianorigins.div.ed.ac.uk/,CAHSS,Divinity,Centre/Institute,,,Retired - redirect,https://divinity.ed.ac.uk/csco,Added to UKWA - AWS,,,,26/11/2024,Monthly,Capped,Umbrella - auto,
WAR07,"Film and the Other Arts: Intermediality, Medium Specificity, Creativity | University of Edinburgh, The",http://www.filmandarts-network.hss.ed.ac.uk/,CAHSS,LLC,Research activity,,,Active,,Added to UKWA - AWS,,,,26/11/2024,Monthly,Capped,Umbrella - auto,
WAR08,PigNet | European Network for Pig Genomics,http://www.pignet.eu/,CMVM,Roslin Institute,Research activity,,"Site of a network funded by COST ((European Cooperation in Science and Technology) to increase the knowledge of the organisation, expression and regulation of the genes involved in pig development, health, reproduction, and product quality. ",Extinct,https://pignet.eu/join/4202,Active UKWA crawl,188385,,,10/07/2023,Domain only,Capped,TBD,Hijacked.
WAR09,"Science, Technology and Innovation Studies | University of Edinburgh, The",http://www.stis.ed.ac.uk/,CAHSS,Social & Political Sciences,Department,,"Site of the department of Science, Technology and Innovation Studies at the University of Edinburgh. Founded in 1966 as the Science Studies Unit, the department conducts research and teaching in areas concerned with the interaction of society with technology.",Redirect,https://www.sps.ed.ac.uk/science-technology-and-innovation-studies,Added to UKWA - AWS,,,,,Annual,Capped,Umbrella - auto,
WAR10,"Story and Religion Network | University of Edinburgh, The",http://www.storyandreligion.div.ed.ac.uk/,CAHSS,Divinity,Research activity,,,Active,,Added to UKWA - AWS,,,,26/11/2024,Monthly,Capped,Umbrella - auto,
WAR11,"Geography and the Lived Environment Institute| University of Edinburgh, The",https://geosciences.ed.ac.uk/research/institutes-centres/institutes/geography/,CSE,Geosciences,Centre/Institute,,,Active,,Added to UKWA - AWS,,,,26/11/2024,Monthly,Capped,Umbrella - auto,
WAR12,"Global Change Institute| University of Edinburgh, The",https://geosciences.ed.ac.uk/research/institutes-centres/institutes/global-change/,CSE,Geosciences,Centre/Institute,,,Active,,Added to UKWA - AWS,,,,26/11/2024,Monthly,Capped,Umbrella - auto,
WAR13,"Giving | University of Edinburgh, The",https://giving.ed.ac.uk/,USG,Development and Alumni,Function,,"Site offering a means of donating to the University of Edinburgh, as well as information on the University's philanthropic actions and activities. ",Active,,Added to UKWA - AWS,,,,08/12/2024,Annual,Capped,Umbrella - auto,
WAR14,"Edinburgh Global | University of Edinburgh, The",https://global.ed.ac.uk/,USG,Edinburgh Global,Department,,,Active,,Active UKWA crawl,,253075,,25/08/2024,Monthly,Capped,Umbrella - auto,
WAR15,"Governance and Strategic Planning | University of Edinburgh, The",https://governance-strategic-planning.ed.ac.uk/,USG,Governance and Strategic Planning,Department,,,Active,,Active UKWA crawl,,253077,,25/08/2024,Monthly,Capped,Umbrella - auto,
WAR16,"Graduate Attributes | University of Edinburgh, The",https://graduate-attributes.ed.ac.uk/,USG,Student Services,Service,,Information for staff and students about the mindsets and skills that make up the Graduate Attributes Framework,Active,,Active UKWA crawl,182520,,,12/04/2023,Annual,Capped,Umbrella - auto,
WAR17,"School of Philosophy, Psychology and Language Sciences | University of Edinburgh, The",https://ppls.ed.ac.uk/,CAHSS,"Philosophy, Psychology & Language Sciences",School,,"The School of Philosophy, Psychology and Language Sciences is part of the College of Arts, Humanities and Social Sciences at the University of Edinburgh.",Active,,Added to UKWA - AWS,,,,26/11/2024,Monthly,Capped,Umbrella - auto,
WAR18,"Edinburgh Centre for Global History | University of Edinburgh, The",https://hca.ed.ac.uk/centre-global-history/,CAHSS,HCA,Centre/Institute,,,Active,,Added to UKWA - AWS,,,,26/11/2024,Monthly,Capped,Umbrella - auto,
WAR19,"Centre for Medieval & Renaissance Studies | University of Edinburgh, The",https://hca.ed.ac.uk/centre-medieval-renaissance/,CAHSS,HCA,Centre/Institute,,,Active,,Added to UKWA - AWS,,,,26/11/2024,Monthly,Capped,Umbrella - auto,
WAR20,"Centre for Late Antique, Islamic and Byzantine Studies (CLAIBS) | University of Edinburgh, The",https://hca.ed.ac.uk/late-antique-islamic-byzantine-studies/,CAHSS,HCA,Centre/Institute,,,Active,,Added to UKWA - AWS,,,,26/11/2024,Monthly,Capped,Umbrella - auto,
WAR21,"Scottish Writing in the Nineteenth Century (SWINC) | University of Edinburgh, The",http://www.swinc.englit.ed.ac.uk/,CAHSS,LLC,Research activity,,,Active,,Added to UKWA - AWS,,,,26/11/2024,Monthly,Capped,Umbrella - auto,
WAR22,"Centre for the Study of Modern and Contemporary History | University of Edinburgh, The",https://hca.ed.ac.uk/modern-contemporary-history-centre/,CAHSS,HCA,Centre/Institute,,,Active,,Added to UKWA - AWS,,,,26/11/2024,Monthly,Capped,Umbrella - auto,
WAR23,"Business School | University of Edinburgh, The",https://www.business-school.ed.ac.uk/,CAHSS,Business,School,,"The Business School is part of the College of Arts, Humanities, and Social Sciences at the University of Edinburgh.",Active,,Active UKWA crawl,133010,253033,,25/08/2024,Monthly,Capped,Umbrella - auto,
